1. Pretrain Model,2. Representation Method,3. FewShot-Tune Method,4. Data Augmentation,Seed,,Zero-Shot,,,5-Shot,,,20-Shot,,,100-Shot,,,Full-Shot,
,,,,,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10,Base R@10,Novel R@10,Avg R@10
bert-base,DPR,Full-Tune,No,40,,,,72.2,64.8,68.5,72.4,67.7,70,72.2,72.1,72.1,,,
,,,,41,,,,71.1,63.6,67.3,71.9,67.7,69.8,73.4,73.8,73.6,,,
,,,,42,72,62,67,72.4,65.1,68.8,72,67.7,69.8,73.3,73.5,73.4,73.9,77.5,75.7
,,,,43,,,,72.1,65.5,68.8,72.7,69.2,70.9,73.3,74.5,73.9,,,
,,,,44,,,,73.6,66.9,70.3,72.5,68.6,70.5,73.7,75,74.4,,,
,,,,MEAN,72,62,67,72.3,65.2,68.7,72.3,68.2,70.2,73.2,73.8,73.5,73.9,77.5,75.7
,,,,STD,,,,0.9,1.2,1.1,0.3,0.7,0.5,0.6,1.1,0.9,,,
bert-large,DPR,Full-Tune,No,40,,,,73.1,67.2,70.2,73.3,69.8,71.5,73.5,74.7,74.1,,,
,,,,41,,,,72.5,66.3,69.4,73.3,69.7,71.5,72.7,74,73.3,,,
,,,,42,72.5,63.6,68.1,73.5,67.3,70.4,72.6,70.3,71.5,74,75.8,74.9,75.7,79.5,77.6
,,,,43,,,,71.4,64.2,67.8,71.6,68.6,70.1,73.6,75.3,74.5,,,
,,,,44,,,,73.3,67.1,70.2,71.5,68.1,69.8,73.8,74.6,74.2,,,
,,,,MEAN,72.5,63.6,68.1,72.8,66.4,69.6,72.5,69.3,70.9,73.5,74.9,74.2,75.7,79.5,77.6
,,,,STD,,,,0.8,1.3,1.1,0.9,0.9,0.9,0.5,0.7,0.6,,,
t5-base-scaled,DPR,Full-Tune,No,40,,,,64.7,57.4,61,64.6,60.3,62.4,66.2,65.7,66,,,
